Temp,OL,Time,Ammonia,pH,sCOD,TS,VS,Coliforms,Ecoli,Enterococci,Methane,RFW,DCS,FOG
37,3.5,3,1805,7.12,9781.63,6.55,4.61,6.12,6.1,5.19,34.3,0,0.33,0.67
37,3.5,3,1620,7.09,9392.76,6.31,4.41,6.24,5.81,5.15,19.7,0,0.33,0.67
19,2,3,1690,7.58,10604.25,6.01,3.9,4.54,4.48,5.06,1.8,0,0.33,0.67
55,2,3,1680,7.82,10155.55,6.07,3.99,1,1,2.3,1.5,0,0.33,0.67
19,2,3,1700,7.58,10619.2,6.27,4.09,4.12,4.03,5.29,2.1,0,0.33,0.67
37,0.5,3,1845,7.48,7179.18,5.75,3.57,4.39,4.28,4.91,35.3,0,0.33,0.67
55,2,3,1845,7.92,9452.59,6.09,3.89,1,1,2.88,1.8,0,0.33,0.67
37,3.5,3,1625,7.11,10409.81,6.18,4.23,5.26,5.2,5.11,39.6,0,0.33,0.67
19,2,3,1725,7.38,10364.94,5.98,3.91,4.77,4.17,5.25,2.1,0,0.33,0.67
19,2,3,1665,7.55,10394.85,6.06,3.97,4.37,4.33,5.16,2.8,0,0.33,0.67
55,2,3,2035,7.82,10110.68,6.37,4.18,1,1,2.71,2.1,0,0.33,0.67
55,2,3,1660,7.89,9893.81,6.18,3.88,1,1,2.93,0.3,0,0.33,0.67
37,0.5,3,1010,7.5,8570.14,5.66,3.57,2.85,2.6,4.91,32.4,0,0.33,0.67
37,0.5,3,865,7.53,9437.63,4.87,3.2,3.22,3.19,4.94,23.6,0,0.33,0.67
37,0.5,3,1700,7.49,8749.62,5.69,3.58,4.36,4.35,5.08,32.3,0,0.33,0.67
37,3.5,3,1590,7.14,9781.63,6.44,4.4,6.15,6.15,5.02,45.1,0,0.33,0.67
19,2,3,1925,7.05,12428.95,5.63,3.5,4.84,4.78,6.24,7.8,0.75,0.25,0
37,0.5,3,1830,7.41,10185.46,5.55,3.51,5.11,5.11,1,34.3,0.75,0.25,0
19,2,3,2160,7.07,11411.9,5.68,3.53,6.05,5.1,6.37,8,0.75,0.25,0
19,2,3,1840,7.06,13251.57,5.81,3.62,5.69,5.57,6.37,10.8,0.75,0.25,0
37,0.5,3,1870,7.49,10005.98,4.87,3.15,5.89,5.87,5.3,28.8,0.75,0.25,0
37,0.5,3,1860,7.47,10753.81,5.76,3.48,5.15,4.85,5.38,22.9,0.75,0.25,0
37,0.5,3,1110,7.51,11082.86,5.67,3.5,4.94,4.94,5,17.5,0.75,0.25,0
55,2,3,1360,7.23,11441.82,6.04,3.76,1,1,3.78,2.7,0.75,0.25,0
55,2,3,1660,7.2,10738.86,6.16,3.82,1,1,3.7,4.1,0.75,0.25,0
37,3.5,3,1480,7.06,8196.23,5.69,3.78,6.35,6.27,5.3,66.9,0.75,0.25,0
19,2,3,1190,7.06,13281.48,5.92,3.64,5.11,4.68,6.38,8.4,0.75,0.25,0
55,2,3,1690,7.2,11546.51,6.01,3.74,1,1,3.49,5.7,0.75,0.25,0
55,2,3,1510,7.2,11501.64,6.04,3.76,1,1,3.54,8,0.75,0.25,0
37,3.5,3,1675,7.08,8525.28,5.92,3.87,5.19,5.19,5.38,67.8,0.75,0.25,0
37,3.5,3,1785,7.01,9826.5,6.01,3.93,5.26,5.26,5.3,64,0.75,0.25,0
37,3.5,3,1700,7.06,7493.27,5.9,4.56,6.91,6.69,4.98,69.5,0.75,0.25,0
55,2,3,1935,7.14,13999.4,5.89,3.6,1,1,3.28,13.1,0.25,0.75,0
37,3.5,3,1455,7,10888.42,5.91,3.82,6.86,6.71,5.38,63.8,0.25,0.75,0
37,0.5,3,1770,7.4,9048.76,5.42,3.37,5.98,5.98,5.38,31.3,0.25,0.75,0
19,2,3,2005,6.98,12832.78,5.89,3.69,4.99,4.86,6.38,9.9,0.25,0.75,0
55,2,3,1860,7.16,14313.49,5.87,3.61,2.49,2.49,3.53,1.7,0.25,0.75,0
37,0.5,3,1560,7.4,8615.01,5.56,3.39,4.77,4.71,5.3,31.5,0.25,0.75,0
55,2,3,1700,7.15,12384.08,5.87,3.59,1,1,3.54,6.7,0.25,0.75,0
19,2,3,1740,7.01,12354.17,5.61,3.51,5.24,5.11,6.48,9.4,0.25,0.75,0
37,3.5,3,1695,6.97,11725.99,6.05,3.94,7.66,7.38,4.84,63.6,0.25,0.75,0
37,0.5,3,1620,7.39,9033.8,5.6,3.44,5.76,5.73,5.92,37.6,0.25,0.75,0
37,3.5,3,1560,6.94,13760.09,5.97,3.95,8.02,8.02,5.3,70.4,0.25,0.75,0
19,2,3,1650,6.98,10798.68,5.75,3.57,5.05,5.05,6.38,10.2,0.25,0.75,0
37,3.5,3,1635,7.02,11935.39,5.99,3.88,6.38,6.3,5.38,63.1,0.25,0.75,0
37,0.5,3,1170,7.41,8959.02,5.63,3.46,4.79,4.79,4.98,29.7,0.25,0.75,0
19,2,3,1755,7,11725.99,5.76,3.57,5.19,5.19,6.53,8.7,0.25,0.75,0
