"","Recipe","Temp","OL","Time","Ammonia","pH","sCOD","TS","VS","Coliforms","Ecoli","Enterococci","Methane","RFW","DCS","FOG"
"1","FWS12",37,2,6,1475,7.44,7278.27,5.75,3.72,5.29804702904507,5.29804702904507,4.96417002708702,89.2,"0","0.33","0.67"
"2","FWS12",37,2,6,1440,7.48,6923.95,5.95,3.83,5.27526757729488,5.24546578121991,5.11384646042253,95.8,"0","0.33","0.67"
"3","FWS12",19,3.5,6,1380,7.2,9271.3,6.67,4.48,5.22115593188966,5.11859867034423,5.37694358037753,8.6,"0","0.33","0.67"
"4","FWS12",37,3.5,9,1395,7.28,7018.71,5.59,3.88,3.62951153420045,3.53794495929149,5.03181630750568,153.9,"0","0.33","0.67"
"5","FWS12",55,0.5,6,1645,8.06,10042.82,5.66,3.38,0,0,2.00432137378264,4.1,"0","0.33","0.67"
"6","FWS12",37,2,6,1375,7.4,6761.55,5.9,3.91,5.1172083018114,5.1172083018114,4.71601169537145,93.4,"0","0.33","0.67"
"7","FWS12",37,3.5,3,1805,7.12,9781.63,6.55,4.61,6.11720531766578,6.1003019487466,5.19120221599978,34.3,"0","0.33","0.67"
"8","FWS12",37,3.5,3,1620,7.09,9392.76,6.31,4.41,6.23877375233779,5.81281379157257,5.15032960874648,19.7,"0","0.33","0.67"
"9","FWS12",55,2,9,1555,7.41,13115.77,5.69,3.62,0,0,2.49276038902684,17.3,"0","0.33","0.67"
"10","FWS12",19,3.5,6,1185,7.23,9330.35,6.48,4.37,5.48798774300773,5.11092960626952,5.13162187182976,8.3,"0","0.33","0.67"
"11","FWS12",19,2,9,1320,7.31,9665.49,6.03,3.91,4.24306286480481,4.08639542712425,4.84199105338663,15.3,"0","0.33","0.67"
"12","FWS12",55,2,9,1760,7.41,13044.87,6.11,3.86,0,0,2.47856649559384,11.6,"0","0.33","0.67"
"13","FWS12",19,2,9,1705,7.33,10492.61,6.15,3.95,4.41831786712868,4.2718648302194,5.03181630750568,17.9,"0","0.33","0.67"
"14","FWS12",19,2,3,1690,7.58,10604.25,6.01,3.9,4.53977843494523,4.48281643583817,5.06183307392608,1.8,"0","0.33","0.67"
"15","FWS12",37,0.5,9,1395,7.47,7727.67,5.29,3.3,2.78604121024255,2.30319605742049,5.23553097186813,81.7,"0","0.33","0.67"
"16","FWS12",19,0.5,6,1510,7.59,7704.18,5.67,3.47,3.30124708863621,3.00043407747932,5.88654768733631,10.3,"0","0.33","0.67"
"17","FWS12",55,2,3,1680,7.82,10155.55,6.07,3.99,0,0,2.30319605742049,1.5,"0","0.33","0.67"
"18","FWS12",19,2,9,1380,7.25,10362.64,5.77,3.77,4.74897060262178,4.6532221646566,6.04917963244335,16,"0","0.33","0.67"
"19","FWS12",55,2,9,1240,7.39,13588.41,6.08,3.86,0,0,2.47856649559384,14,"0","0.33","0.67"
"20","FWS12",19,0.5,6,1535,7.56,10472.06,5.74,3.48,4.55510654574916,4.46539772429244,4.98182313576522,9.7,"0","0.33","0.67"
"21","FWS12",55,0.5,6,1650,7.72,10013.21,5.35,3.21,0,0,2.00432137378264,3.4,"0","0.33","0.67"
"22","FWS12",19,2,3,1700,7.58,10619.2,6.27,4.09,4.11945385075606,4.02698244319161,5.28668321376506,2.1,"0","0.33","0.67"
"23","FWS12",37,2,6,1435,7.43,7174.92,5.75,3.83,5.36169195803498,5.36169195803498,5.08037752588171,95.7,"0","0.33","0.67"
"24","FWS12",55,3.5,6,1895,7.49,9448.46,7.36,4.81,0,0,2.30319605742049,4.4,"0","0.33","0.67"
"25","FWS12",37,2,6,1515,7.47,6687.74,5.9,3.41,4.63869886576853,4.56278042830769,4.6127944491389,100,"0","0.33","0.67"
"26","FWS12",55,3.5,6,1630,7.46,9477.99,7.41,4.88,0,0,2.60314437262018,7.6,"0","0.33","0.67"
"27","FWS12",19,0.5,6,1555,7.47,9954.01,5.67,3.48,4.07921743574657,3.61288976928748,5.99140374555664,8.5,"0","0.33","0.67"
"28","FWS12",55,3.5,0,1858.280556,7.97,22965.34438,8.095174187,5.37059848,5.54055876429233,5.45379111693334,5.00143742552316,0,"0","0.33","0.67"
"29","FWS12",37,2,6,1405,7.54,6953.48,5.83,3.76,3.2043913319193,3.03782475058834,5.38374537073358,80.7,"0","0.33","0.67"
"30","FWS12",37,2,6,1225,7.43,7248.74,5.81,3.78,5.16726119781982,5.16726119781982,5.11384646042253,93.1,"0","0.33","0.67"
"31","FWS12",37,2,6,1410,7.41,6864.9,5.62,3.72,3.08314414314305,3.08314414314305,5.29804702904507,107.1,"0","0.33","0.67"
"32","FWS12",19,3.5,6,1760,7.26,10127.57,6.49,4.4,5.18041549945911,4.96988629853915,6.15032684372446,7,"0","0.33","0.67"
"33","FWS12",55,0.5,6,1645,7.68,11034.52,5.61,3.36,0,0,0,5.4,"0","0.33","0.67"
"34","FWS12",55,3.5,6,1680,7.57,9655.14,7.42,4.85,0,0,2.00432137378264,5.6,"0","0.33","0.67"
"35","FWS12",37,0.5,3,1845,7.48,7179.18,5.75,3.57,4.38669511177562,4.28422763959348,4.91190831564009,35.3,"0","0.33","0.67"
"36","FWS12",37,2,6,1465,7.37,7101.11,5.63,3.59,2.00432137378264,2.00432137378264,5.19120221599978,86.9,"0","0.33","0.67"
"37","FWS12",55,2,3,1845,7.92,9452.59,6.09,3.89,0,0,2.87563993700417,1.8,"0","0.33","0.67"
"38","FWS12",37,0.5,9,1435,7.47,7609.51,5.42,3.27,4.99140773232573,4.35162239973637,4.4843140782767,84.7,"0","0.33","0.67"
"39","FWS12",37,3.5,3,1625,7.11,10409.81,6.18,4.23,5.25733292130149,5.20352513489195,5.11384646042253,39.6,"0","0.33","0.67"
"40","FWS12",37,3.5,9,1510,7.27,6924.18,5.67,3.83,3.51995918075207,3.3911116137028,4.39621678829097,164.6,"0","0.33","0.67"
"41","FWS12",19,2,9,1820,7.32,10988.89,5.99,3.91,4.46983673757549,4.41831786712868,5.14488852926799,15.4,"0","0.33","0.67"
"42","FWS12",19,2,3,1725,7.38,10364.94,5.98,3.91,4.7719253789442,4.17234017362481,5.25091013681232,2.1,"0","0.33","0.67"
"43","FWS12",19,2,3,1665,7.55,10394.85,6.06,3.97,4.3689559453455,4.32890940487119,5.161370997359,2.8,"0","0.33","0.67"
"44","FWS12",37,0.5,9,1620,7.46,7444.08,5.23,3.22,0,0,4.53783168313669,95,"0","0.33","0.67"
"45","FWS12",55,2,3,2035,7.82,10110.68,6.37,4.18,0,0,2.70842090013471,2.1,"0","0.33","0.67"
"46","FWS12",37,2,6,1645,7.45,8399.85,5.84,3.51,3.72435780422643,3.50119624202709,5.29804702904507,104.2,"0","0.33","0.67"
"47","FWS12",55,2,9,1595,7.4,12973.98,5.9,3.73,0,0,0,13,"0","0.33","0.67"
"48","FWS12",19,3.5,6,1315,7.24,10923.75,6.68,4.52,5.3398507688332,5.10002917961348,5.22271907170556,7.3,"0","0.33","0.67"
"49","FWS12",55,3.5,6,1700,7.48,8857.93,7.36,4.79,0,0,2.69983772586725,8.9,"0","0.33","0.67"
"50","FWS12",37,3.5,9,1810,7.3,6522.44,5.72,3.95,0,0,4.8041462500916,166.9,"0","0.33","0.67"
"51","FWS12",19,0.5,6,1410,7.53,10383.25,5.7,3.47,3.79940947961513,3.61288976928748,4.78462442384661,7.8,"0","0.33","0.67"
"52","FWS12",55,2,3,1660,7.89,9893.81,6.18,3.88,0,0,2.92992956008459,0.3,"0","0.33","0.67"
"53","FWS12",37,3.5,9,1710,7.29,7302.29,5.48,3.72,3.50256366910736,3.29468662427944,5.083147729375,188.3,"0","0.33","0.67"
"54","FWS12",37,0.5,3,1010,7.5,8570.14,5.66,3.57,2.85186960072977,2.60314437262018,4.91190831564009,32.4,"0","0.33","0.67"
"55","FWS12",37,2,6,1345,7.46,8192.63,5.85,3.52,5.2387760078851,5.19120221599978,5.29804702904507,94.8,"0","0.33","0.67"
"56","FWS12",55,0.5,6,1650,7.7,10605.27,5.52,3.33,0,0,0,4.7,"0","0.33","0.67"
"57","FWS12",37,0.5,9,1640,7.45,8011.25,5.13,3.22,4.55024058653017,4.45026450855985,4.66182214718761,94.6,"0","0.33","0.67"
"58","FWS12",19,2,0,1918.952778,7.97,18010.29842,7.017277522,4.442479512,5.29814923302181,5.21110095402838,5.00267628006451,0,"0","0.33","0.67"
"59","FWS12",37,2,0,1918.952778,7.97,18010.29842,7.017277522,4.442479512,5.29814923302181,5.21110095402838,5.00267628006451,0,"0","0.33","0.67"
"60","FWS12",19,3.5,0,1858.280556,7.97,22965.34438,8.095174187,5.37059848,5.54055876429233,5.45379111693334,5.00143742552316,0,"0","0.33","0.67"
"61","FWS12",37,0.5,3,865,7.53,9437.63,4.87,3.2,3.22036963245139,3.19061179781361,4.93772345622086,23.6,"0","0.33","0.67"
"62","FWS12",37,0.5,0,1979.625,7.97,13055.25246,5.939380857,3.514360545,4.7004635776208,4.61146839047983,5.00391161073873,0,"0","0.33","0.67"
"63","FWS12",55,2,0,1918.952778,7.97,18010.29842,7.017277522,4.442479512,5.29814923302181,5.21110095402838,5.00267628006451,0,"0","0.33","0.67"
"64","FWS12",37,3.5,0,1858.280556,7.97,22965.34438,8.095174187,5.37059848,5.54055876429233,5.45379111693334,5.00143742552316,0,"0","0.33","0.67"
"65","FWS12",37,0.5,3,1700,7.49,8749.62,5.69,3.58,4.36363078011214,4.34715431010059,5.08037752588171,32.3,"0","0.33","0.67"
