Temp,OL,Time,Recipe,Ammonia,pH,sCOD,TS,VS,Coliforms,Ecoli,Enterococci,Methane
37,2.0,6,FWS12,1475,7.44,7278.27,5.75,3.72,198630,198630,92080,9.3
37,2.0,6,FWS12,1440,7.48,6923.95,5.95,3.83,188480,175980,129970,12.7
19,2.0,3,FWS13,2160,7.07,11411.90,5.68,3.53,1114130,124935,2364800,7.4
19,0.5,6,FWS13,1375,7.49,9492.75,5.53,3.31,150000,62400,2419600,16.6
55,0.5,6,FWS12,1645,8.06,10042.82,5.66,3.38,0,0,100,8.5
55,0.5,6,FWS13,1585,7.72,10454.76,5.47,3.22,0,0,200,10.3
37,3.5,3,FWS12,1805,7.12,9781.63,6.55,4.61,1309800,1259800,155310,7.8
19,2.0,3,FWS31,2005,6.98,12832.78,5.89,3.69,98040,72700,2419600,9.7
55,2.0,3,FWS31,1935,7.14,13999.40,5.89,3.60,0,0,1890,13.2
37,0.5,9,FWS31,1800,7.44,7963.99,5.16,3.17,2000,2000,770100,11.7
55,3.5,6,FWS13,1760,7.24,14090.56,6.04,3.71,100,0,100,10.3
19,0.5,6,FWS31,1565,7.45,10620.07,5.61,3.38,920800,260300,2439800,11.5
37,0.5,9,FWS13,1555,7.45,7609.51,5.20,3.22,7380,5460,209800,9.9
19,2.0,3,FWS12,1690,7.58,10604.25,6.01,3.90,34655,30395,115300,8.7
37,0.5,3,FWS31,1770,7.40,9048.76,5.42,3.37,953095,953095,241960,10.2
55,0.5,6,FWS31,1705,7.45,11744.99,5.68,3.35,0,0,0,9.4
55,2.0,3,FWS12,1680,7.82,10155.55,6.07,3.99,0,0,200,1.8
19,2.0,9,FWS12,1380,7.25,10362.64,5.77,3.77,56100,45000,1119900,2.1
55,2.0,9,FWS31,1715,7.46,12335.91,5.66,3.43,0,0,520,2.1
37,0.5,3,FWS13,1870,7.49,10005.98,4.87,3.15,770830,749165,198630,2.8
37,3.5,3,FWS31,1560,6.94,13760.09,5.97,3.95,104620000,104620000,198630,8.0
37,2.0,6,FWS31,1485,7.38,8429.45,5.56,3.47,165980,165980,1690000,7.8
37,2.0,6,FWS12,1435,7.43,7174.92,5.75,3.83,229980,229980,120330,8.4
19,2.0,9,FWS13,1645,7.17,11130.68,5.68,3.52,125900,11150,1524800,10.8
